# This file contains the commands, arguments and flags for the
# ImageJ Macro 'FilterTester'.
#
# Version 2007-Jun-19 for ImageJ 1.38v
#
# The lines contain (semicolon-delimited):
#    command-string; options-string; flags; results
# The strings should not be enclosed in quotes; command-string must not contain
#   additional whitespace (spaces, tabs, etc.)
# Flags are bitwise OR of bits:
#   bit 0 (1)  - do on 8-bit image
#   bit 1 (2)  - do on 16-bit image
#   bit 2 (4)  - do on 32-bit image
#   bit 3 (8)  - do on RGB image
#   bit 4 (16) - do on binary image
#   bit 5 (32) - do on stacks of the types defined previously
#   bit 6 (64) - command creates a separate output image (no stack) that should be measured
#   bit 7 (128) - disable anisotropy tests (if filtering is not isotropic, but works differently
#                when rotated/flipped, e.g. "Shadow" filters).
#   bit 8 (256) - disable Undo test
#
# The results are comma-delimited; mean, min, max for each type of selection and data file type
# With the FilterTester in learning mode (with writeResults = true), the results of the
# tests are written (or overwritten) as further arguments in each line.
#
# Lines starting with a character less than '0' (e.g., '#', "!") are comments.
#
!Mean...;radius=1;  47;63.34,15,195,63.4025,15,195,63.8475,15,254,147.7075,35,454,147.8475,35,454,148.9225,35,593,4.907771039009094,1.1545000076293945,15.118301391601562,4.912331286668778,1.1545000076293945,15.118301391601562,4.94811028778553,1.1545000076293945,19.73590087890625,202.2975,93,243,202.25,93,243,201.86,46,243,
Mean...;radius=5;  47;66.875,29,164,66.4125,29,164,67.7975,29,254,155.97,67,383,154.9,67,383,158.1325,67,593,5.1828658658266065,2.2223451137542725,12.754874229431152,5.1472432762384415,2.2223451137542725,12.754874229431152,5.2548976868391035,2.2223451137542725,19.73590087890625,199.3225,118,231,199.7125,118,231,198.5475,46,231,
Variance...;radius=1;47;104.67,0,255,101.94,0,255,94.025,0,255,1708.78,0,24946,1649.425,0,24946,808.01,0,24946,1.89486735295382,-3.2044135878095403E-7,27.661907196044922,2.2738194414471398,-3.2044135878095403E-7,27.661907196044922,3.9196701121920956,-2.845054041245021E-7,27.661907196044922,91.2225,0,255,104.0375,0,255,156.0425,0,255,
Maximum...;radius=1;  47;83.935,16,254,82.615,16,254,73.785,16,254,195.8425,37,593,192.76,37,593,172.1175,37,593,6.510555612742901,1.2210999727249146,19.73590087890625,6.4079083558917045,1.2210999727249146,19.73590087890625,5.720513099133968,1.2210999727249146,19.73590087890625,215.5225,95,254,214.4475,95,254,208.2975,46,248,
!Maximum...;radius=5;47;180.375,48,254,172.555,32,254,121.665,32,254,421.005,112,593,402.7525,75,593,283.885,75,593,14.008467330932618,3.718600273132324,19.73590087890625,13.400659031867981,2.4865002632141113,19.73590087890625,9.442371085882186,2.4865002632141113,19.73590087890625,237.255,195,254,234.68,122,254,217.2275,46,254,
!Minimum...;radius=1;  47;47.4475,1,192,48.7475,1,192,56.135,8,254,110.645,2,448,113.67,2,448,130.9125,19,593,3.673478721641004,0.05560000240802765,14.907401084899902,3.7742112227901816,0.05560000240802765,14.907401084899902,4.348386506736278,0.6217000484466553,19.73590087890625,185.1275,46,242,186.23,46,242,193.5825,46,242,
Minimum...;radius=5;47;21.1875,1,72,24.2975,1,160,45.325,1,254,49.4825,2,168,56.7275,2,373,105.7425,2,593,1.6367673375830054,0.05560000240802765,5.583400249481201,1.8780258418247104,0.05560000240802765,12.409900665283203,3.5102254600822924,0.05560000240802765,19.73590087890625,105.225,46,215,111.7475,46,228,153.875,46,228,
!Median...;radius=5;  47;59.36,24,184,59.82,24,184,63.435,24,254,138.4375,56,429,139.5075,56,429,147.975,56,593,4.598969044089317,1.8538000583648682,14.274701118469238,4.634600042700767,1.8538000583648682,14.274701118469238,4.916567806601524,1.8538000583648682,19.73590087890625,205.6025,102,235,205.2225,102,235,202.185,46,235,
Despeckle; ;47;62.42,16,192,62.52,16,192,63.315,16,254,145.57,37,448,145.805,37,448,147.6775,37,593,4.83648129671812,1.2210999727249146,14.907401084899902,4.84430679410696,1.2210999727249146,14.907401084899902,4.906661039292812,1.2210999727249146,19.73590087890625,203.06,95,242,202.975,95,242,202.3025,46,242,
Remove Outliers...;radius=2 threshold=1 which=Dark;47;61.34,8,192,61.44,8,192,62.795,8,254,143.055,19,448,143.29,19,448,146.4625,19,593,4.8494682848453525,0.6217000484466553,15.540101051330566,4.8494682848453525,0.6217000484466553,15.540101051330566,4.897337037324905,0.6217000484466553,19.73590087890625,203.955,95,248,203.87,95,248,202.7375,46,248,
# Rotate
Arbitrarily...;angle=10 interpolate enlarge;431;79.41,10,217,62.98,12,200,62.2725,9,254,185.255,24,506,146.9075,27,466,145.2525,22,593,6.1576813328266145,0.8024491667747498,16.83943748474121,4.881850118935108,0.8926830887794495,15.506725311279297,4.826485456675291,0.7213007807731628,19.73590087890625,188.83,74,247,202.56,88,246,203.1625,46,247,
Arbitrarily...;angle=111.1;175;78.22,32,216,94.015,8,254,72.795,8,254,182.4675,75,504,219.3275,19,593,169.8025,19,593,6.065168150663376,2.4865002632141113,16.772201538085938,7.292606202661991,0.6217000484466553,19.73590087890625,5.643423588573933,0.6217000484466553,19.73590087890625,189.8625,75,228,176.7025,46,248,194.3975,46,248,
#
